#,initial amount,DigiKey,Ref,QR,unit,sub
Y2017M4-1,500,311-0.0ERCT-ND,RES 0.0 OHM 1-4W 5% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-0.0ERCT-ND,0,$2.39 
Y2017M4-2,50,311-0.1ANCT-ND,RES .10 OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-0.1ANCT-ND,0.17,$8.41 
Y2017M4-3,50,P.10AVCT-ND,RES SMD 0.1 OHM 5% 1W 1206,https://www.digikey.com/products/en?keywords=P.10AVCT-ND,0.34,$17.18 
Y2017M4-4,100,CSRN2010FKR250CT-ND,RES .25OHM 1W 1% 2010 SMD,https://www.digikey.com/products/en?keywords=CSRN2010FKR250CT-ND,0.3,$30.00 
Y2017M4-5,500,311-1.00FRCT-ND,RES 1.00 OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-1.00FRCT-ND,0.01,$3.19 
Y2017M4-6,500,311-4.99FRCT-ND,RES 4.99 OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-4.99FRCT-ND,0.01,$3.19 
Y2017M4-7,500,311-10.0FRCT-ND,RES 10.0 OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-10.0FRCT-ND,0.01,$3.19 
Y2017M4-8,500,311-49.9FRCT-ND,RES 49.9 OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-49.9FRCT-ND,0.01,$3.19 
Y2017M4-9,500,311-100FRCT-ND,RES 100 OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-100FRCT-ND,0.01,$3.19 
Y2017M4-10,500,311-499FRCT-ND,RES 499 OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-499FRCT-ND,0.01,$3.19 
Y2017M4-11,500,311-1.00KFRCT-ND,RES 1.00K OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-1.00KFRCT-ND,0.01,$3.19 
Y2017M4-12,500,311-4.99KFRCT-ND,RES 4.99K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-4.99KFRCT-ND,0.01,$3.19 
Y2017M4-13,500,311-10.0KFRCT-ND,RES 10.0K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-10.0KFRCT-ND,0.01,$3.19 
Y2017M4-14,500,311-49.9KFRCT-ND,RES 49.9K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-49.9KFRCT-ND,0.01,$3.19 
Y2017M4-15,500,311-100KFRCT-ND,RES 100K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-100KFRCT-ND,0.01,$3.19 
Y2017M4-16,500,311-499KFRCT-ND,RES 499K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-499KFRCT-ND,0.01,$3.19 
Y2017M4-17,500,311-1.00MFRCT-ND,RES 1.00M OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-1.00MFRCT-ND,0.01,$3.19 
Y2017M4-18,500,311-4.99MFRCT-ND,RES 4.99M OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-4.99MFRCT-ND,0.01,$3.19 
Y2017M4-19,500,311-10.0MFRCT-ND,RES 10.0M OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-10.0MFRCT-ND,0.01,$3.19 
Y2017M4-20,50,490-6999-1-ND,TRIMMER 10K OHM 0.05W SMD,https://www.digikey.com/products/en?keywords=490-6999-1-ND,0.19,$9.53 
Y2017M4-21,150,311-1212-1-ND,CAP CERAMIC 1PF 50V NP0 1206-$0.04200-,https://www.digikey.com/products/en?keywords=311-1212-1-ND,0.05,$6.98 
Y2017M4-22,150,311-1150-1-ND,CAP CERAMIC 10PF 50V NP0 1206-$0.03612-,https://www.digikey.com/products/en?keywords=311-1150-1-ND,0.04,$6.07 
Y2017M4-23,150,311-1161-1-ND,CAP CERAMIC 100PF 50V NP0 1206-$0.04200-,https://www.digikey.com/products/en?keywords=311-1161-1-ND,0.05,$7.06 
Y2017M4-24,150,311-1144-1-ND,CAP 1000PF 1KV CERAMIC X7R 1206-$0.15300-,https://www.digikey.com/products/en?keywords=311-1144-1-ND,0.15,$22.03 
Y2017M4-25,150,311-1174-1-ND,CAP 10000PF 50V CERAMIC X7R 1206 $0.03360-,https://www.digikey.com/products/en?keywords=311-1174-1-ND,0.04,$5.65 
Y2017M4-26,150,399-4674-1-ND,CAP CERAMIC .1UF 250V X7R 1206-,https://www.digikey.com/products/en?keywords=399-4674-1-ND,0.12,$17.33 
Y2017M4-27,150,445-1423-1-ND,CAP CER 1UF 50V X7R 10% 1206-,https://www.digikey.com/products/en?keywords=445-1423-1-ND,0.07,$10.20 
Y2017M4-28,80,587-1352-1-ND,CAP CER 10UF 35V Y5V 1206-,https://www.digikey.com/products/en?keywords=587-1352-1-ND,0.18,$14.72 
Y2017M4-29,10,283-2810-ND,CAP SUPER 1F 5.5V RADIAL,https://www.digikey.com/products/en?keywords=283-2810-ND,2.72,$27.23 
Y2017M4-30,10,PCD2144CT-ND,CHOKE COIL 1.2UH 6500MA SMD-,https://www.digikey.com/products/en?keywords=PCD2144CT-ND,1.99,$19.89 
Y2017M4-31,10,PCD2152CT-ND,CHOKE COIL 10UH 3900MA SMD-,https://www.digikey.com/products/en?keywords=PCD2152CT-ND,1.99,$19.89 
Y2017M4-32,10,PCD2164CT-ND,CHOKE COIL 100UH 1200MA SMD-,https://www.digikey.com/products/en?keywords=PCD2164CT-ND,1.99,$19.89 
Y2017M4-33,10,PCD2176CT-ND,CHOKE COIL 1000UH 410MA SMD-,https://www.digikey.com/products/en?keywords=PCD2176CT-ND,1.99,$19.89 
Y2017M4-34,100,497-5559-1-ND,DIODE SCHOTTKY 100V SGL SOD-123-,https://www.digikey.com/products/en?keywords=497-5559-1-ND,0.17,$16.83 
Y2017M4-35,100,641-1331-1-ND,DIODE SCHOTTKY 1A 100V MINI-SMA-,https://www.digikey.com/products/en?keywords=641-1331-1-ND,0.19,$19.24 
Y2017M4-36,150,BZT52C3V3-FDICT-ND,DIODE ZENER 500MW 3.3V SOD123-,https://www.digikey.com/products/en?keywords=BZT52C3V3-FDICT-ND,0.07,$9.79 
Y2017M4-37,150,BZT52C4V7-13-FDICT-ND,DIODE ZENER 4.7V 500MW SOD-123-,https://www.digikey.com/products/en?keywords=BZT52C4V7-13-FDICT-ND,0.07,$9.79 
Y2017M4-38,50,NDS355ANCT-ND,N-Channel 30V 1.7A (Ta) 500mW (Ta) Surface Mount SuperSOT-3,https://www.digikey.com/products/en?keywords=NDS355ANCT-ND,0.26,$13.17 
Y2017M4-39,50,NDS356APCT-ND,MOSFET P-CH -30V 1.1A 3-SSOT-,https://www.digikey.com/products/en?keywords=NDS356APCT-ND,0.34,$16.91 
Y2017M4-40,20,RFD16N05LSM9ACT-ND,MOSFET N-CH 50V 16A TO-252AA-,https://www.digikey.com/products/en?keywords=RFD16N05LSM9ACT-ND,1.13,$22.50 
Y2017M4-41,50,620-1428-1-ND,IC PWM MOTOR DVR FULL 8SOIC,https://www.digikey.com/products/en?keywords=620-1428-1-ND,1.57,$78.69 
Y2017M4-42,10,620-1352-1-ND,IC MOTOR DRIVER PAR 24TSSOP,https://www.digikey.com/products/en?keywords=620-1352-1-ND,3.11,$31.12 
Y2017M4-43,10,"CLA413-ND	",POWER SWITCH AC SS SCR 8SOIC,"https://www.digikey.com/products/en?keywords=CLA413-ND	",3.04,$30.40 
Y2017M4-44,100,LM3480IM3-3.3/NOPBCT-ND,IC 3.3V100MA LDO VREG SOT23-,https://www.digikey.com/products/en?keywords=LM3480IM3-3.3/NOPBCT-ND,0.32,$32.00 
Y2017M4-45,100,LM3480IM3-5.0/NOPBCT-ND,IC 5.0 100MA LDO VREG SOT23-,https://www.digikey.com/products/en?keywords=LM3480IM3-5.0/NOPBCT-ND,0.32,$32.00 
Y2017M4-46,50,ZLDO1117G33DICT-ND,IC REG LDO 3.3V 1A SOT223-3,https://www.digikey.com/products/en?keywords=ZLDO1117G33DICT-ND,0.34,$17.00 
Y2017M4-47,50,ZLDO1117G50DICT-ND,IC REG LDO 5V 1A SOT223-3,https://www.digikey.com/products/en?keywords=ZLDO1117G50DICT-ND,0.34,$17.00 
Y2017M4-48,50,AD8615AUJZ-REEL7CT-ND,IC OPAMP GP R-R CMOS LN TSOT23-5   ,https://www.digikey.com/products/en?keywords=AD8615AUJZ-REEL7CT-ND,1.74,$87.11 
Y2017M4-49,10,LM4861M-ND,IC AMP AUDIO PWR 1.5W MONO 8SOIC,https://www.digikey.com/products/en?keywords=LM4861M-ND,1.28,$12.75 
Y2017M4-50,150,160-1167-1-ND,LED RED CLEAR 1206 SMD-,https://www.digikey.com/products/en?keywords=160-1167-1-ND,0.13,$19.69 
Y2017M4-51,150,160-1169-1-ND,LED GREEN CLEAR 1206 SMD-,https://www.digikey.com/products/en?keywords=160-1169-1-ND,0.15,$22.50 
Y2017M4-52,150,160-1403-1-ND,LED YELLOW ORANGE CLEAR 1206 SMD,https://www.digikey.com/products/en?keywords=160-1403-1-ND,0.1,$15.19 
Y2017M4-53,150,160-1889-1-ND,LED BLUE CLEAR 1206 REV MT SMD,https://www.digikey.com/products/en?keywords=160-1889-1-ND,0.13,$20.05 
Y2017M4-54,150,160-1737-1-ND,LED WHITE YELLOW 260MCD 1206,https://www.digikey.com/products/en?keywords=160-1737-1-ND,0.25,$37.26 
Y2017M4-55,50,CLV1A-FKB-CK1N1G1BB7R4S3CT-ND        ,LED RGB DIFFUSED 4PLCC SMD,https://www.digikey.com/products/en?keywords=CLV1A-FKB-CK1N1G1BB7R4S3CT-ND        ,0.6,$29.90 
Y2017M4-56,50,1080-1346-1-ND,LED IR GAA1AS WATER CLEAR SMD,https://www.digikey.com/products/en?keywords=1080-1346-1-ND,0.36,$17.83 
Y2017M4-57,50,1080-1379-1-ND,Phototransistor 940nm Top View 1206 IR,https://www.digikey.com/products/en?keywords=1080-1379-1-ND,0.15,$7.43 
Y2017M4-58,50,1080-1380-1-ND,Phototransistor 940nm Top View 1206 visible,https://www.digikey.com/products/en?keywords=1080-1380-1-ND,0.15,$7.43 
Y2017M4-59,10,497-16538-1-ND,Optical Sensor 200cm IÂ²C Output,https://www.digikey.com/products/en?keywords=497-16538-1-ND,5.64,$56.35 
Y2017M4-60,5,67-1781-ND,LCD MODULE 16x2 CHARACTER-,https://www.digikey.com/products/en?keywords=67-1781-ND,7.06,$35.28 
Y2017M4-61,10,458-1124-ND,SPEAKER 8 OHM .25W 23MM ROUND,https://www.digikey.com/products/en?keywords=458-1124-ND,0.59,$5.89 
Y2017M4-62,10,423-1134-1-ND,MIC MEMS ANALOG OMNI -22DB,https://www.digikey.com/products/en?keywords=423-1134-1-ND,1.14,$11.42 
Y2017M4-63,10,423-1405-1-ND,MIC MEMS DIGITAL I2S OMNI -26DB,https://www.digikey.com/products/en?keywords=423-1405-1-ND,2.21,$22.06 
Y2017M4-64,10,235-1109-1-ND,THERMISTOR NTC 10K OHM 10% 1206-,https://www.digikey.com/products/en?keywords=235-1109-1-ND,2.5,$24.99 
Y2017M4-65,10,PTS12061.0KCT-ND,TEMP SENSOR RTD 1.0K OHM 1206,https://www.digikey.com/products/en?keywords=PTS12061.0KCT-ND,3.2,$32.03 
Y2017M4-66,10,620-1021-1-ND,IC SENSOR HALL EFFECT SOT23W,https://www.digikey.com/products/en?keywords=620-1021-1-ND,1.39,$13.86 
Y2017M4-67,10,ADXL343BCCZ-ND ,ACCELEROMETER DGTL 3AXIS 14LGA,https://www.digikey.com/products/en?keywords=ADXL343BCCZ-ND ,2.71,$27.13 
Y2017M4-68,25,AD8605ARTZREEL7CT-ND,IC OPAMP SNGL R-R I-O LN SOT23-5,https://www.digikey.com/products/en?keywords=AD8605ARTZREEL7CT-ND,1.35,$33.81 
Y2017M4-69,50,ATTINY45V-10SU-ND,IC AVR MCU 4K 10MHZ 8SOIC-,https://www.digikey.com/products/en?keywords=ATTINY45V-10SU-ND,1.23,$61.50 
Y2017M4-70,50,ATTINY44A-SSU-ND,IC MCU AVR 4K FLASH 20MHZ 14SOIC-,https://www.digikey.com/products/en?keywords=ATTINY44A-SSU-ND,1.18,$58.80 
Y2017M4-71,20,ATMEGA328P-AU-ND,IC MCU 8BIT 32KB FLASH 32TQFP,https://www.digikey.com/products/en?keywords=ATMEGA328P-AU-ND,2.87,$57.40 
Y2017M4-72,15,ATMEGA16U2-AU-ND,IC MCU 8BIT 16KB FLASH 32TQFP,https://www.digikey.com/products/en?keywords=ATMEGA16U2-AU-ND,3.53,$52.92 
Y2017M4-73,15,ATMEGA16U4-AU-ND,IC MCU 8BIT 16KB FLASH 44TQFP,https://www.digikey.com/products/en?keywords=ATMEGA16U4-AU-ND,4.63,$69.40 
Y2017M4-74,20,ATXMEGA16E5-AURCT-ND,IC MCU 8BIT 16KB FLASH 32TQFP,https://www.digikey.com/products/en?keywords=ATXMEGA16E5-AURCT-ND,2.11,$42.12 
Y2017M4-75,20,ATXMEGA16A4U-AURCT-ND        ,IC MCU 8BIT 16KB FLASH 44TQFP,https://www.digikey.com/products/en?keywords=ATXMEGA16A4U-AURCT-ND        ,2.8,$55.97 
Y2017M4-76,1,ATATMEL-ICE-BASIC-ND,EMU FOR SAM AND AVR MCU BASIC,https://www.digikey.com/products/en?keywords=ATATMEL-ICE-BASIC-ND,54.11,$54.11 
Y2017M4-77,1,ATAVRDRAGON-ND,"Atmel Dragon programmer - isp, pdi",https://www.digikey.com/products/en?keywords=ATAVRDRAGON-ND,53.75,$53.75 
Y2017M4-78,1,ATXMEGAE5-XPLD-ND,XMEGA E5 XPLAINED EVAL KIT,https://www.digikey.com/products/en?keywords=ATXMEGAE5-XPLD-ND,36.36,$36.36 
Y2017M4-79,10,497-13318-ND        ,IC MCU 32BIT 256KB FLASH 48LQFP,https://www.digikey.com/products/en?keywords=497-13318-ND        ,6.42,$64.21 
Y2017M4-80,2,497-15105-ND,BOARD NUCLEO FOR STM32F303RE,https://www.digikey.com/products/en?keywords=497-15105-ND,10.7,$21.40 
Y2017M4-81,2,497-14360-ND,BOARD NUCLEO STM32F4 SERIES,https://www.digikey.com/products/en?keywords=497-14360-ND,10.33,$20.66 
Y2017M4-82,10,CY8C4245PVI-482-ND,IC MCU 32BIT 32KB FLASH 28SSOP,https://www.digikey.com/products/en?keywords=CY8C4245PVI-482-ND,2.83,$28.31 
Y2017M4-83,10,428-3344-ND,KIT PSOC 4200 PROGRAMMING,https://www.digikey.com/products/en?keywords=428-3344-ND,3.99,$39.90 
Y2017M4-84,10,557-1562-ND,IC FLASH 128MBIT 108MHZ 8SO,https://www.digikey.com/products/en?keywords=557-1562-ND,1.51,$15.08 
Y2017M4-85,50,XC1109CT-ND,CER RESONATOR 20.00MHZ SMD,https://www.digikey.com/products/en?keywords=XC1109CT-ND,0.43,$21.38 
Y2017M4-86,50,535-10004-1-ND,RESONATOR CER 8.00 MHZ W/CAP SMD,https://www.digikey.com/products/en?keywords=535-10004-1-ND,0.25,$12.38 
Y2017M4-87,50,644-1039-1-ND,CRYSTAL 20.000000 MHZ 8PF SMD,https://www.digikey.com/products/en?keywords=644-1039-1-ND,0.49,$24.30 
Y2017M4-88,50,401-2012-1-ND,SWITCH SLIDE SPDT 12V 100MA GW-,https://www.digikey.com/products/en?keywords=401-2012-1-ND,0.84,$41.87 
Y2017M4-89,25,SW262CT-ND,SWITCH TACT SMD W-GND 160GF,https://www.digikey.com/products/en?keywords=SW262CT-ND,0.74,$18.49 
Y2017M4-90,20,469-1004-ND,"MAGNET 1-4""DIA X 1",https://www.digikey.com/products/en?keywords=469-1004-ND,0.29,$5.85 
Y2017M4-91,20,469-1002-ND,"MAGNET 1-2""DIA X 1",https://www.digikey.com/products/en?keywords=469-1002-ND,0.98,$19.50 
Y2017M4-92,10,SAM1213-50-ND,"Through-Hole Female Header 0.1"" (50pos)",https://www.digikey.com/products/en?keywords=SAM1213-50-ND,3.62,$36.21 
Y2017M4-93,25,S5448-ND,"Through-Hole RT Angle Female Header 0.1"" (12pos)",https://www.digikey.com/products/en?keywords=S5448-ND,0.76,$19.06 
Y2017M4-94,25,S1011EC-40-ND,"Through-Hole Male Header 0.1"" (40pos)",https://www.digikey.com/products/en?keywords=S1011EC-40-ND,0.66,$16.45 
Y2017M4-95,10,929835E-01-36-ND,"Through-Hole RT Angle Male Header 0.1"" (36pos)",https://www.digikey.com/products/en?keywords=929835E-01-36-ND,1.71,$17.09 
Y2017M4-96,25,S5641-ND,"SMT Female Header 0.1"" (10pos)",https://www.digikey.com/products/en?keywords=S5641-ND,1.22,$30.49 
Y2017M4-97,20,A111251CT-ND,"SMT RT Angle Female Header 0.1"" (5pos)",https://www.digikey.com/products/en?keywords=A111251CT-ND,0.66,$13.22 
Y2017M4-98,10,732-5371-ND,"SMT Male Header 0.1"" (32pos)",https://www.digikey.com/products/en?keywords=732-5371-ND,4.11,$41.10 
Y2017M4-99,10,S1143E-36-ND,"SMT RT Angle Male Header 0.1"" (36pos)",https://www.digikey.com/products/en?keywords=S1143E-36-ND,3.3,$33.00 
Y2017M4-100,25,CP1-023PJCT-ND,CONN PWR JACK DC 0.65X2.75MM SMD-,https://www.digikey.com/products/en?keywords=CP1-023PJCT-ND,0.82,$20.59 
Y2017M4-101,25,CP-012-ND,CONN DC PWR PLUG 0.7X2.35MM-,https://www.digikey.com/products/en?keywords=CP-012-ND,0.78,$19.41 
Y2017M4-102,20,CP-002AHPJCT-ND,CONN-POWER JACK 2.1MM SMD,https://www.digikey.com/products/en?keywords=CP-002AHPJCT-ND,1.47,$29.38 
Y2017M4-103,25,CP-2501SP-ND,CONN PLUG STEREO 2.5MM W-COVER,https://www.digikey.com/products/en?keywords=CP-2501SP-ND,0.83,$20.70 
Y2017M4-104,25,CP1-2533SJCT-ND,CONN JACK STEREO 3PIN 2.5MM SMD-,https://www.digikey.com/products/en?keywords=CP1-2533SJCT-ND,0.88,$21.95 
Y2017M4-105,10,CP-1453-ND,CONN RCA PLUG W-STRAIN REL BLK,https://www.digikey.com/products/en?keywords=CP-1453-ND,1.41,$14.10 
Y2017M4-106,10,CP-1459-1-ND,CONN RCA JACK METAL R/A BLK SMD,https://www.digikey.com/products/en?keywords=CP-1459-1-ND,1.12,$11.18 
Y2017M4-107,10,SC1323-ND,CONN JACK PHONO 2POS SHIELDED-,https://www.digikey.com/products/en?keywords=SC1323-ND,3,$30.00 
Y2017M4-108,50,ED1122-ND,CONN PIN SPRING-LOADED PCB,https://www.digikey.com/products/en?keywords=ED1122-ND,0.58,$28.77 
Y2017M4-109,1,,CABLE 10 COND 300' MULTI RIBBON,https://www.digikey.com/products/en?keywords=,125.45,$125.45 
Y2017M4-110,30,ED1514-ND,TERMINAL BLOCK 3.5MM 2POS PCB-,https://www.digikey.com/products/en?keywords=ED1514-ND,0.46,$13.89 
Y2017M4-111,30,ED1515-ND,TERMINAL BLOCK 3.5MM 3POS PCB-,https://www.digikey.com/products/en?keywords=ED1515-ND,0.67,$19.98 
Y2017M4-112,5,A116B-4-ND,HEATSHRINK 1-16 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A116B-4-ND,0.76,$3.80 
Y2017M4-113,5,A018B-4-ND,HEATSHRINK 1-8 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A018B-4-ND,0.86,$4.30 
Y2017M4-114,5,A014B-4-ND,HEATSHRINK 1-4 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A014B-4-ND,1.32,$6.60 
Y2017M4-115,5,A038B-4-ND,HEATSHRINK 3-8 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A038B-4-ND,1.46,$7.30 
Y2017M4-116,5,A012B-4-ND,HEATSHRINK 1-2 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A012B-4-ND,1.66,$8.30 
Y2017M4-117,20,BS6I-MC-ND,9V BATTERY SNAP WITH 2PC MOLDED-,https://www.digikey.com/products/en?keywords=BS6I-MC-ND,0.52,$10.40 
Y2017M4-118,20,BH9V-W-ND,HOLDER BATTERY 9V WIRE LEADS-,https://www.digikey.com/products/en?keywords=BH9V-W-ND,1.27,$25.30 
Y2017M4-119,20,55K-ND,CLIP BATTERY AAA-N CELL SMT,https://www.digikey.com/products/en?keywords=55K-ND,0.28,$5.63 
Y2017M4-120,15,768-1007-1-ND,IC USB TO SERIAL UART 28-SSOP-,https://www.digikey.com/products/en?keywords=768-1007-1-ND,4.05,$60.75 
Y2017M4-121,3,768-1028-ND,CABLE USB TO TTL SERIAL CONV,https://www.digikey.com/products/en?keywords=768-1028-ND,20,$60.00 
Y2017M4-122,3,768-1015-ND,CABLE USB - SERIAL TTL CONVERTER-,https://www.digikey.com/products/en?keywords=768-1015-ND,20,$60.00 
Y2017M4-123,50,"670-2674-1-ND
","RCPT MICRO USB 2.0 B SMT H/D
","https://www.digikey.com/products/en?keywords=670-2674-1-ND
",0.62,$31.19 
Y2017M4-124,50,H2961CT-ND,CONN RECEPT MINI USB2.0 5POS,https://www.digikey.com/products/en?keywords=H2961CT-ND,0.74,$37.13 
Y2017M4-125,5,1528-1154-ND,"M/M Jumper Wires 6"" (40pcs)",https://www.digikey.com/products/en?keywords=1528-1154-ND,3.95,$19.75 
Y2017M4-126,5,1528-1162-ND,"M/F Jumper Wires 6"" (40pcs)",https://www.digikey.com/products/en?keywords=1528-1162-ND,3.95,$19.75 
Y2017M4-127,5,1528-1379-ND,"F/F Jumper Wires 6"" (40pcs)",https://www.digikey.com/products/en?keywords=1528-1379-ND,3.95,$19.75 
Y2017M4-128,5,A105063-ND,CONN FFC VERT 5POS 2.54MM PCB,https://www.digikey.com/products/en?keywords=A105063-ND,0.6,$3.00 
Y2017M4-129,5,609-2179-ND,CONN FFC HEADER 5POS 2.54MM,https://www.digikey.com/products/en?keywords=609-2179-ND,1.45,$7.25 
Y2017M4-130,1,367-1099-ND,"LEAD TEST ALLIG CLIP 24"" SET/10",https://www.digikey.com/products/en?keywords=367-1099-ND,10.35,$10.35 
Y2017M4-131,6,296-1600-5-ND,Shift Register,https://www.digikey.com/products/en?keywords=296-1600-5-ND,0.58,$3.48 
,,,,,,
,,,,,,
